time,open,high,low,close,tick_volume,spread,real_volume
2025-01-20 10:28:00,122475.0,122535.0,122465.0,122490.0,2511,0,29285
2025-01-20 10:29:00,122485.0,122500.0,122370.0,122385.0,4443,0,62982
2025-01-20 10:30:00,122380.0,122700.0,122310.0,122380.0,16867,0,248251
2025-01-20 10:31:00,122375.0,122410.0,122245.0,122330.0,8851,0,105177
2025-01-20 10:32:00,122325.0,122555.0,122325.0,122550.0,7319,0,87219
2025-01-20 10:33:00,122550.0,122635.0,122500.0,122620.0,4822,0,57847
2025-01-20 10:34:00,122620.0,122700.0,122555.0,122615.0,5307,0,65072
2025-01-20 10:35:00,122620.0,122755.0,122610.0,122725.0,5557,0,70936
2025-01-20 10:36:00,122725.0,122785.0,122585.0,122600.0,5933,0,82069
2025-01-20 10:37:00,122600.0,122765.0,122550.0,122735.0,5800,0,68320
2025-01-20 10:38:00,122735.0,122735.0,122610.0,122640.0,3476,0,42114
2025-01-20 10:39:00,122645.0,122835.0,122640.0,122810.0,4805,0,59183
2025-01-20 10:40:00,122815.0,122840.0,122735.0,122765.0,3842,0,48184
2025-01-20 10:41:00,122765.0,122925.0,122760.0,122890.0,5030,0,61919
2025-01-20 10:42:00,122885.0,122925.0,122780.0,122790.0,4142,0,49294
2025-01-20 10:43:00,122795.0,122795.0,122675.0,122705.0,4897,0,53063
2025-01-20 10:44:00,122710.0,122775.0,122665.0,122675.0,2745,0,30354
2025-01-20 10:45:00,122675.0,122730.0,122625.0,122650.0,5007,0,53707
2025-01-20 10:46:00,122650.0,122755.0,122645.0,122695.0,3378,0,39331
2025-01-20 10:47:00,122695.0,122745.0,122695.0,122715.0,1673,0,13929
2025-01-20 10:48:00,122715.0,122815.0,122695.0,122745.0,3966,0,41035
2025-01-20 10:49:00,122750.0,122870.0,122750.0,122770.0,3709,0,43781
2025-01-20 10:50:00,122765.0,122855.0,122765.0,122835.0,2711,0,31170
2025-01-20 10:51:00,122840.0,122910.0,122790.0,122880.0,4384,0,56919
2025-01-20 10:52:00,122875.0,122920.0,122825.0,122825.0,3230,0,38441
2025-01-20 10:53:00,122825.0,122935.0,122810.0,122880.0,2672,0,29745
2025-01-20 10:54:00,122885.0,122980.0,122870.0,122940.0,4258,0,56424
2025-01-20 10:55:00,122940.0,122975.0,122870.0,122900.0,3266,0,42073
2025-01-20 10:56:00,122895.0,123020.0,122895.0,122995.0,4236,0,54448
2025-01-20 10:57:00,122995.0,123025.0,122945.0,123000.0,2554,0,32269
2025-01-20 10:58:00,123000.0,123030.0,122895.0,122925.0,3198,0,36723
2025-01-20 10:59:00,122925.0,122965.0,122855.0,122870.0,3185,0,32423
2025-01-20 11:00:00,122875.0,123000.0,122785.0,122960.0,6526,0,84397
2025-01-20 11:01:00,122960.0,123015.0,122920.0,122955.0,2963,0,37215
2025-01-20 11:02:00,122960.0,123000.0,122940.0,122975.0,1655,0,15578
2025-01-20 11:03:00,122975.0,123040.0,122930.0,122980.0,2900,0,33048
2025-01-20 11:04:00,122975.0,123025.0,122915.0,122965.0,2566,0,29859
2025-01-20 11:05:00,122960.0,122970.0,122855.0,122930.0,3708,0,48517
2025-01-20 11:06:00,122930.0,123040.0,122925.0,123030.0,3153,0,34101
2025-01-20 11:07:00,123030.0,123140.0,123030.0,123135.0,4750,0,59180
2025-01-20 11:08:00,123135.0,123160.0,123080.0,123135.0,3510,0,45333
2025-01-20 11:09:00,123140.0,123215.0,123130.0,123180.0,3526,0,42745
2025-01-20 11:10:00,123185.0,123210.0,123060.0,123070.0,4358,0,54692
2025-01-20 11:11:00,123065.0,123105.0,123005.0,123045.0,3229,0,39168
2025-01-20 11:12:00,123045.0,123065.0,123000.0,123065.0,2393,0,22801
2025-01-20 11:13:00,123060.0,123170.0,123060.0,123165.0,2891,0,32194
2025-01-20 11:14:00,123160.0,123200.0,123125.0,123195.0,2928,0,33317
2025-01-20 11:15:00,123200.0,123310.0,123190.0,123255.0,5429,0,64229
2025-01-20 11:16:00,123260.0,123285.0,123160.0,123185.0,3779,0,46836
2025-01-20 11:17:00,123190.0,123230.0,123100.0,123140.0,4079,0,49488
2025-01-20 11:18:00,123140.0,123170.0,123095.0,123095.0,2370,0,26899
2025-01-20 11:19:00,123100.0,123230.0,123080.0,123195.0,2937,0,40236
2025-01-20 11:20:00,123190.0,123270.0,123175.0,123255.0,2780,0,31104
2025-01-20 11:21:00,123260.0,123365.0,123260.0,123325.0,4756,0,61628
2025-01-20 11:22:00,123325.0,123365.0,123280.0,123360.0,2769,0,31219
2025-01-20 11:23:00,123360.0,123365.0,123255.0,123265.0,2176,0,24746
2025-01-20 11:24:00,123260.0,123300.0,123235.0,123270.0,1916,0,19554
2025-01-20 11:25:00,123265.0,123280.0,123185.0,123255.0,2653,0,34284
2025-01-20 11:26:00,123255.0,123270.0,123205.0,123270.0,1528,0,17025
2025-01-20 11:27:00,123270.0,123285.0,123195.0,123220.0,1877,0,20550
2025-01-20 11:28:00,123220.0,123255.0,123135.0,123155.0,2910,0,36114
2025-01-20 11:29:00,123160.0,123220.0,123130.0,123150.0,2383,0,27434
2025-01-20 11:30:00,123150.0,123165.0,123050.0,123070.0,4376,0,50562
2025-01-20 11:31:00,123070.0,123085.0,123000.0,123020.0,3390,0,38462
2025-01-20 11:32:00,123020.0,123035.0,122965.0,123010.0,2898,0,33983
2025-01-20 11:33:00,123010.0,123055.0,122995.0,123050.0,2095,0,25871
2025-01-20 11:34:00,123050.0,123110.0,123020.0,123065.0,2897,0,36926
2025-01-20 11:35:00,123065.0,123130.0,123065.0,123120.0,2403,0,24418
2025-01-20 11:36:00,123115.0,123150.0,123075.0,123115.0,2453,0,25328
2025-01-20 11:37:00,123120.0,123135.0,123080.0,123135.0,1663,0,20811
2025-01-20 11:38:00,123135.0,123270.0,123135.0,123255.0,4513,0,56378
2025-01-20 11:39:00,123255.0,123280.0,123240.0,123250.0,2109,0,18744
2025-01-20 11:40:00,123245.0,123335.0,123220.0,123320.0,3362,0,45239
2025-01-20 11:41:00,123320.0,123420.0,123290.0,123415.0,4548,0,58418
2025-01-20 11:42:00,123410.0,123475.0,123405.0,123445.0,4177,0,49173
2025-01-20 11:43:00,123450.0,123590.0,123425.0,123575.0,5147,0,69830
